ISSorbit.A1Gregorian       ISSorbit.A1ModJulian      ISSorbit.ElapsedDays      ISSorbit.ElapsedSecs      ISSorbit.EarthMJ2000Eq.X   ISSorbit.EarthMJ2000Eq.Y   ISSorbit.EarthMJ2000Eq.Z   ISSorbit.EarthMJ2000Eq.VX   ISSorbit.EarthMJ2000Eq.VY   ISSorbit.EarthMJ2000Eq.VZ   
03 Jan 2000 17:17:42.688   21547.22063296538         2.22063256743786          191862.6538266311         -5410.226049231495         -1858.988343817986         -3620.443810835032         4.466514898660161           -4.427077035954968          -4.398456526056886          
03 Jan 2000 17:19:13.627   21547.22168549992         2.221685101983894         191953.5928114085         -4976.074204854575         -2251.011985766734         -4000.471159734472         5.073198335411892           -4.186996931210167          -3.952011262207449          
03 Jan 2000 17:20:04.247   21547.2222713741          2.222270976166328         192004.2123407708         -4711.23390614813          -2459.14008751042          -4193.816402670979         5.387880472842512           -4.033989030205182          -3.685055483535223          
03 Jan 2000 17:21:07.824   21547.22300722629         2.223006828357029         192067.7899700473         -4356.771606621357         -2709.016759563947         -4417.000311721372         5.757819856830178           -3.823145595726119          -3.332749011835837          
03 Jan 2000 17:22:09.475   21547.22372077413         2.223720376190613         192129.440502869          -3991.472875300232         -2937.924252558833         -4611.50640504915          6.087979465231776           -3.59981675910776           -2.974651686466167          
03 Jan 2000 17:23:31.298   21547.22466780465         2.224667406713706         192211.2639400642         -3476.926169066357         -3219.451423474003         -4834.717287459093         6.480003454875356           -3.276609905624632          -2.477374390316436          
03 Jan 2000 17:25:01.475   21547.22571151154         2.225711113598663         192301.4402149245         -2875.493515157121         -3497.646905348071         -5032.481071196329         6.847435032504282           -2.8880861482711            -1.904991988027474          
03 Jan 2000 17:26:32.547   21547.22676558682         2.226765188879654         192392.5123192021         -2237.719803373448         -3741.634526483554         -5178.867360089942         7.14605339235298            -2.465304062507846          -1.306909711337332          
03 Jan 2000 17:28:03.645   21547.22781996409         2.227819566156541         192483.6105159251         -1575.994739056142         -3945.948205334111         -5270.126426107275         7.368798021275719           -2.016304141497141          -0.6948591802069372         
03 Jan 2000 17:29:34.781   21547.22887478568         2.228874387739779         192574.7471007169         -897.2412409020282         -4108.408536827734         -5305.248811702878         7.513293594907903           -1.545747630552821          -0.07522941168568985        
03 Jan 2000 17:31:05.870   21547.22992904754         2.229928649605427         192665.8353259089         -209.3165136216369         -4227.146862057079         -5283.841881159984         7.577907980674485           -1.059050669351584          0.5448357648625165          
03 Jan 2000 17:32:36.850   21547.23098206287         2.230981664928549         192756.8158498267         480.0168038996614          -4300.940354563799         -5206.293300316323         7.562126876572205           -0.5616934750012862         1.158388094413531           
03 Jan 2000 17:34:07.963   21547.23203661167         2.232036213736137         192847.9288668023         1165.254727390892          -4329.178995445373         -5073.198886915157         7.466032297857621           -0.05760635774505996        1.760550932754619           
